id	sent1	sent2	label
0	سكب عصير البرتقال على حبوبه.	سكب الحليب على حبوبه.	0
1	هو يشرب التفاح.	هو يشرب الحليب.	0
2	ركض جيف ميلاً اليوم	ركض جيف 100000 ميل اليوم	1
3	البعوضة تلدغني	أنا ألدغ بعوضة	1
4	ابنة الأخت شخص.	الزرافة شخص.	1
5	خزانة الملابس أكبر من الخزانة العادية.	الخزانة العادية أكبر من خزانة الملابس.	1
6	أحب ركوب الشوكولاتة	أنا أحب أن أركب دراجتي	0
7	فتاة فازت بالسباق مع صديقها	فتاة فازت بالسباق مع الحصان	1
8	وضع الفيل في الإبريق	يصب الماء في الإبريق	0
9	فتاة تلعب الكرة الطائرة	كلب يلعب الكرة الطائرة	1
10	البيض يأكل القبلات في عيد الفصح.	يجد الأطفال البيض في عيد الفصح.	0
11	شرب مارك دفتر ملاحظات.	شرب مارك الماء.	0
12	ذهب إلى مركز الشرطة لسحب النقود.	ذهب إلى البنك لسحب النقود.	0
13	يمكن للمالك تسعير البضائع	يمكن للموظف تسعير البضائع	1
14	ترتدي أساور في اليد	ترتدي قبعة في اليد	1
15	ابن عمي يرمي كرة الثلج لأخي.	رمي ابن عمي المنزل لأخي.	1
16	اليرقة تأكل برعم الورد	براعم الورود تأكل اليرقات	1
17	لعبت ليزا موسيقى الجاز لموسى العهد القديم أمس.	لعبت ليزا موسيقى الجاز لرئيس الولايات المتحدة أمس.	0
18	تعطل جهاز الكمبيوتر وسوف يقوم الطبيب بإصلاحه	تعطل جهاز الكمبيوتر وسوف يقوم الفني بإصلاحه	0
19	شربت مبيض غسيل.	لقد شربت مياه عذبة	0
20	أنا عادة أرتدي حذاءًا على رأسي	أنا عادة أرتدي حذاءًا في قدمي	0
21	وضع أخي السيارة داخل الصندوق.	وضع أخي المفاعل النووي داخل الصندوق.	1
22	أخذت كرسي للنزهة	أخذت الكلب في نزهة	0
23	نبح كلب على قطة في الشارع.	نبحت القطة على كلب في الشارع.	1
24	لقد قام بجز السجاد	جز العشب الطويل	0
25	أنا أقود دراجة	أنا أقود سيارة	0
26	أنا ألبس فيل	أنا ألبس بنفسي	0
27	أنا أطبخ السمك جيدًا	أطبخ كرة القدم بشكل جيد للغاية	1
28	السيارة هي وسيلة جيدة للغاية لتنقل داخل المياه	القارب هو وسيلة جيدة للغاية للتنقل داخل المياه	0
29	يتم أخذ الكلب إلى طبيب بيطري بعد مرضه	يتم أخذ الكلب إلى حمام السباحة بعد مرضه	1
30	ركبت دراجتها إلى القمر.	ركبت دراجتها إلى المتجر.	0
31	لقد أغلق الهاتف المحمول	لقد أغلق الصبي	1
32	زرع بذور الخيار في الأريكة.	زرع بذور الخيار في الحديقة.	0
33	ألعب ألعاب على موقد الغاز الخاص بي	ألعب الألعاب على جهاز الكمبيوتر المحمول	0
34	قرأت النجوم	قرأتني النجوم	1   
35	صبي يطفئ الباب	صبي يطفئ النور	0
36	قرأ الملك توت نافذة طويلة جدا.	قرأ كتابا عن الملك توت.	0
37	فقد هاتفه في الحديقة.	فقد هاتفه في فم غريفين وهو حيوان خرافي.	1
38	تناولت سارة كوباً من الماء	تناولت سارة كوباً من البنزين	1
39	احتفظ بزجاجة عصير في الثلاجة	احتفظ بالكرسي داخل الثلاجة	1
40	قرأت نمر	قرأت كتاباً .	0
41	أستخدم الإنترنت في الراديو الخاص بي	أستخدم الإنترنت في هاتفي المحمول	0
42	قادت أطفالها إلى القمر.	قادت أطفالها إلى الملعب.	0
43	قادت سارة السيارة إلى محل البقالة.	قفزت سارة بالمظلة من الطائرة الى محل البقالة.	1
44	تسبح الأسماك في الصحراء.	تسبح الأسماك في المحيط.	0
45	كان هناك رجل يمشي في الثلج.	كان هناك مخلوق جليد ميت يمشي في الثلج.	1
46	أنا أسبح تحت الصنبور	أنا أسبح في حوض السباحة	0
47	شخص يأكل الطماطم	شخص يأكل الجبال	1
48	رأت جين زرافة في حديقة الحيوانات.	رأت جين زرافة في حقيبتها.	1
49	نستخدم الساعة لمعرفة الوقت	نستخدم الكتاب لمعرفة الوقت	1
50	كنت ألعب كرة السلة بالكرة	كنت ألعب كرة السلة بصخرة	1
51	أخذت ماري كلبها في نزهة	أخذت ماري فراشها في نزهة	1
52	أحب الاستماع إلى ملفات تسجيلات الاغاني أثناء التنقل	أحب الاستماع إلى الألوان أثناء التنقل	1
53	أركض في الهواء	أركض على الأرض	0
54	كانت هناك امرأة شقراء تركب تنين.	كانت هناك امرأة شقراء تركب فيلًا في إفريقيا.	0
55	هو أكل الكتاب	هو أكل تفاحة	0
56	أكل جاك مانجو اصطناعي	جاك أكل المانجو	0
57	الطفل يأخذ الألعاب	الطفل يأخذ القاموس	1
58	كانت المدرسة مفتوحة في الصيف	كانت المدرسة مفتوحة في الخريف	0
59	بكت الشوكولاتة	ذابت الشوكولاتة	0
